"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"158"	"CDK5RAP2; CEP152"	"Directly interacting;Relevant pathways for phenotype;Colocalization;Same pathway;Similar function"	"(CDK5RAP2, CEP152)"	"Centrosome maturation;G2/M Transition;Anchoring of the basal body to the plasma membrane;M Phase;Cilium Assembly;Mitotic Prometaphase;Mitotic;Regulation of PLK1 Activity at G2/M Transition;Cell Cycle;AURKA Activation by TPX2;Loss of proteins required for interphase microtubule organization from the centrosome;Recruitment of NuMA to mitotic centrosomes;Mitotic G2-G2/M phases;Loss of Nlp from mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes"	"2"	"OLI243"
"159"	"CEP290; CEP41"	"Same pathway;Monogenic experiments only"	"N.A."	"Centrosome maturation;G2/M Transition;Anchoring of the basal body to the plasma membrane;M Phase;Cilium Assembly;Mitotic Prometaphase;Mitotic;Regulation of PLK1 Activity at G2/M Transition;Cell Cycle;AURKA Activation by TPX2;Organelle biogenesis and maintenance;Loss of proteins required for interphase microtubule organization from the centrosome;Recruitment of NuMA to mitotic centrosomes;Mitotic G2-G2/M phases;Loss of Nlp from mitotic centrosomes;Cell Cycle"	"2"	"OLI244"
"160"	"CEP41; KIF7"	"Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI245"
"161"	"CC2D2A; CEP41"	"Monogenic experiments only;Same pathway"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI246; OLI247"
"162"	"DPT; FOXC1; NFATC1"	"Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI248"
"163"	"DPT; FOXC1"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI249"
"164"	"GJB2; MITF"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI251"
"165"	"FOXC1; PITX2"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Similar function;Co-expression"	"N.A."	"N.A."	"2"	"OLI253"
"166"	"NPHS1; NPHS2"	"Indirectly interacting;Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(NPHS1, NPHS2)"	"N.A."	"3"	"OLI255; OLI256; OLI257; OLI321; OLI501"
"167"	"HERC2; NOTCH2"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI258"
"168"	"MYO7A; PCDH15"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway;Co-expression"	"N.A."	"N.A."	"2"	"OLI259; OLI1038"
"169"	"PCDH15; USH1G"	"Indirectly interacting;Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway"	"N.A."	"N.A."	"3"	"OLI260; OLI454"
"170"	"CA2; LARP7; MCCC2; SPG11"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI264"
"171"	"CDH23; PCDH15"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"N.A."	"3"	"OLI265; OLI266; OLI267; OLI1370"
"172"	"DSC2; DSG2; MYH6"	"Involved in the same disease;Same pathway;Same protein complex"	"(DSC2, DSG2)"	"Developmental Biology;Arrhythmogenic right ventricular cardiomyopathy;Formation of the cornified envelope"	"1"	"OLI268"
"173"	"DAO; SOD1"	"Involved in the same disease;Same pathway"	"N.A."	"Peroxisome"	"1"	"OLI269"
"174"	"SETX; SOD1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI270; OLI635"
"175"	"C9orf72; DCTN1"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI271"
"176"	"C9orf72; SQSTM1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Autophagy - animal"	"0"	"OLI272; OLI633; OLI823"
"177"	"C9orf72; SETX"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI273; OLI655"
"178"	"ANG; VAPB"	"Involved in the same disease;Same pathway"	"N.A."	"Amyotrophic lateral sclerosis"	"1"	"OLI274"
"179"	"ATXN2; SQSTM1"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI275"
"180"	"FUS; SETX"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI276; OLI945"
"181"	"DCTN1; SETX"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI277; OLI663"
"182"	"ATXN2; FUS"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI278"
"183"	"TARDBP; VAPB"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI279"
"184"	"ANG; DCTN1; SOD1"	"Involved in the same disease;Same pathway"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Cellular responses to external stimuli;Huntington disease"	"1"	"OLI280"
"185"	"ATXN2; DCTN1; SETX"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"0"	"OLI281"
"186"	"SETX; TAF15"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI282"
"187"	"DCTN1; FIG4; SETX"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI283"
"188"	"APC; EXO1; OGG1; POLQ"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Disease;Homology Directed Repair;DNA Repair"	"1"	"OLI284"
"189"	"PROKR2; SEMA3A"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI286; OLI1262; OLI1342; OLI285"
"190"	"PROK2; SEMA3A"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI287"
"191"	"ANOS1; SEMA3A"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI289"
"192"	"CNTNAP2; MAPK7"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI290"
"193"	"FBN2; RPGRIP1L"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI291"
"194"	"FLNB; TTC26"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Colocalization;Same organelle"	"N.A."	"N.A."	"2"	"OLI292; OLI294"
"195"	"FLNB; PTK7"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI293"
"196"	"FLNB; IFT122"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI295"
"197"	"COL11A2; FLNB; PTK7"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI296"
"198"	"FBN1; SLC39A8"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI297"
"199"	"FLNB; OFD1"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Colocalization;Same organelle"	"N.A."	"N.A."	"2"	"OLI298"
"200"	"AR; HOXB6; MAMLD1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI299"
"201"	"HSD3B2; SRD5A2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Metabolism of lipids;Metabolism of steroid hormones;Steroid hormone biosynthesis;Androgen biosynthesis;Metabolism"	"2"	"OLI300"
"202"	"ABCC6; GGCX"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Disease"	"1"	"OLI301"
"203"	"OTUD4; RNF216"	"Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI302"
"204"	"FZD4; LRP5"	"Relevant pathways for phenotype;Same pathway;Expression in the same tissue"	"N.A."	"Signaling by WNT in cancer;Regulation of FZD by ubiquitination;Gastric cancer;mTOR signaling pathway;Breast cancer;Disease;Pathways of neurodegeneration - multiple diseases;Pathways in cancer;Alzheimer disease;Hepatocellular carcinoma;Signaling by RNF43 mutants;Wnt signaling pathway;Signaling by WNT;Signal Transduction;TCF dependent signaling in response to WNT;Diseases of signal transduction by growth factor receptors and second messengers"	"2"	"OLI303; OLI304; OLI305; OLI306; OLI307; OLI308; OLI309; OLI419; OLI1252; OLI1253; OLI1257"
"205"	"LRP5; TSPAN12"	"Involved in the same disease;Same pathway"	"N.A."	"N.A."	"1"	"OLI310; OLI311"
"206"	"FZD4; ZNF408"	"Relevant pathways for phenotype;Expression in the same tissue"	"N.A."	"N.A."	"1"	"OLI312; OLI313; OLI1259"
"207"	"NDP; ZNF408"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI314"
"208"	"LRP5; NDP"	"Involved in the same disease;Same pathway"	"N.A."	"N.A."	"1"	"OLI315"
"209"	"EPHA2; SLC26A4"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI316; OLI317; OLI939"
"210"	"COL4A3; COL4A4; COL4A6"	"Involved in the same disease;Same pathway"	"N.A."	"Anchoring fibril formation;Integrin cell surface interactions;Non-integrin membrane-ECM interactions;Axon guidance;Focal adhesion;Laminin interactions;Assembly of collagen fibrils and other multimeric structures;Signaling by Receptor Tyrosine Kinases;Signaling by PDGF;ECM-receptor interaction;Extracellular matrix organization;AGE-RAGE signaling pathway in diabetic complications;Protein digestion and absorption;Developmental Biology;ECM proteoglycans;Amoebiasis;NCAM signaling for neurite out-growth;Nervous system development;Collagen degradation;Collagen chain trimerization;Degradation of the extracellular matrix;Pathways in cancer;Relaxin signaling pathway;NCAM1 interactions;Small cell lung cancer;Crosslinking of collagen fibrils;Collagen biosynthesis and modifying enzymes;Collagen formation;Human papillomavirus infection;PI3K-Akt signaling pathway;Signal Transduction"	"2"	"OLI318"
"211"	"CD2AP; NPHS2"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Relevant pathways for phenotype"	"(CD2AP, NPHS2)"	"N.A."	"2"	"OLI320"
"212"	"BBS12; BBS2; INPP5E"	"Involved in the same disease;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance"	"2"	"OLI322"
"213"	"BBS1; BBS10; CEP290"	"Involved in the same disease;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"(BBS1, CEP290)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI324"
"214"	"BBS2; BBS4; TTC8"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"(BBS2, BBS4);(BBS2, TTC8);(BBS4, TTC8)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI325"
"215"	"PKD1; PKD2"	"Involved in the same disease;Directly interacting;Same pathway"	"(PKD1, PKD2)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane"	"2"	"OLI326; OLI327"
"216"	"ARHGEF28; AVPR2; EPHB3; FAM170A; POU2F1; RDX; SOD1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI328"
"217"	"ALOX15; AR; COL4A1; FBXW8; NOB1; PMM2; SOD1; TPP1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Metabolic pathways;Signaling by Interleukins;Immune System;Pathways in cancer;Metabolism of proteins;Post-translational protein modification;Cytokine Signaling in Immune system;Signal Transduction"	"0"	"OLI329"
"218"	"ADA2; APTX; BICD2; CACNA1H; CDH23; CHRNE; LAMB2; MYH11; NME8; PRRT2; QARS1; SLC26A10; SOD1; UNC13A"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"(MYH11, SOD1)"	"N.A."	"0"	"OLI330"
"219"	"ARHGEF10; FAM126A; GRWD1; HEXB; ITPR1; MARS1; POLG2; SOD1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"(HEXB, SOD1)"	"N.A."	"0"	"OLI331"
"220"	"ADGRB2; CACNA1H; CHRNB1; GALC; HTT; ITPR1; SOD1; XK"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI332"
"221"	"ADCY5; AHNAK; ANG; ATP7A; KIAA1755; KMT2C; MYOM1; POU2F1; SOD1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI333"
"222"	"CACNA1H; PGAM4; SOD1; SPG11"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"1"	"OLI334"
"223"	"CAPN1; CHAT; GALC; KIF1B; SOD1"	"Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Immune System;Metabolism of lipids;Metabolism"	"0"	"OLI335"
"224"	"BAZ1B; GRIP1; SUFU; TBX6"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI336"
"225"	"MYO18B; SUFU; WNT7A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI337"
"226"	"FUZ; MAP3K7; POR"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"0"	"OLI338"
"227"	"CHD7; FRAS1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI339"
"228"	"BAZ1B; COG1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI340"
"229"	"ANKRD11; HOXD13; MYO18B"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI341"
"230"	"FREM2; MYO18B"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI342"
"231"	"CDH23; MAML1; MAMLD1; MYO7A; RET"	"Directly interacting;Indirectly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"(CDH23, MYO7A)"	"N.A."	"1"	"OLI343"
"232"	"GLI2; GLI3; MAMLD1; NOTCH2; WNT9B"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Gene expression (Transcription);Generic Transcription Pathway;Signaling by NOTCH;Hedgehog on state;RUNX2 regulates bone development;Notch-HLH transcription pathway;Basal cell carcinoma;NOTCH2 intracellular domain regulates transcription;RNA Polymerase II Transcription;Breast cancer;Pre-NOTCH Expression and Processing;Pre-NOTCH Transcription and Translation;Pathways in cancer;Signaling by NOTCH4;Hedgehog off state;Disease;Hippo signaling pathway;Signaling by NOTCH2;Human papillomavirus infection;Transcriptional regulation by RUNX2;Signaling by Hedgehog;Signal Transduction;NOTCH4 Intracellular Domain Regulates Transcription"	"2"	"OLI344"
"233"	"MAMLD1; MYO7A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"1"	"OLI345"
"234"	"GLI3; MAML3; MAMLD1"	"Directly interacting;Indirectly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"N.A."	"Gene expression (Transcription);Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;Generic Transcription Pathway;RUNX3 regulates NOTCH signaling;Signaling by NOTCH3;Notch-HLH transcription pathway;NOTCH2 intracellular domain regulates transcription;RNA Polymerase II Transcription;Developmental Biology;Pre-NOTCH Expression and Processing;Pre-NOTCH Transcription and Translation;Transcriptional regulation by RUNX3;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 PEST Domain Mutants;NOTCH3 Intracellular Domain Regulates Transcription;Regulation of beta-cell development;Signaling by NOTCH4;Disease;NOTCH1 Intracellular Domain Regulates Transcription;Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells;Signaling by NOTCH1;Diseases of signal transduction by growth factor receptors and second messengers;Signaling by NOTCH2;Signaling by NOTCH1 in Cancer;Signal Transduction;NOTCH4 Intracellular Domain Regulates Transcription"	"2"	"OLI346"
"235"	"GLI2; MAMLD1; NOTCH2; RET"	"Directly interacting;Indirectly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"N.A."	"Signaling by NOTCH4;Pre-NOTCH Expression and Processing;Pre-NOTCH Transcription and Translation;Gene expression (Transcription);Disease;Developmental Biology;Notch-HLH transcription pathway;NOTCH2 intracellular domain regulates transcription;Signaling by NOTCH2;RNA Polymerase II Transcription;Pathways in cancer;Signaling by NOTCH;Generic Transcription Pathway;Signal Transduction;NOTCH4 Intracellular Domain Regulates Transcription"	"2"	"OLI347"
"236"	"CYP1A1; FRAS1; GLI3; MAMLD1; MYO7A; WNT9A"	"Involved in the same disease;Indirectly interacting;Relevant pathways for phenotype"	"N.A."	"Gene expression (Transcription);Basal cell carcinoma;RNA Polymerase II Transcription;Pathways in cancer;Generic Transcription Pathway;Signaling by GPCR;Signal Transduction"	"1"	"OLI348"
"237"	"CYP1A1; MAMLD1; PIK3R3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Disease;Metabolism of lipids;Diseases of signal transduction by growth factor receptors and second messengers;Metabolism;Developmental Biology;Signal Transduction"	"1"	"OLI349"
"238"	"CDH23; FRAS1; FREM2; MAMLD1; MYO7A"	"Involved in the same disease;Indirectly interacting;Directly interacting;Relevant pathways for phenotype"	"(CDH23, MYO7A)"	"N.A."	"1"	"OLI350"
"239"	"CDH23; FRAS1; MAML3; MAMLD1; WNT9B"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI351"
"240"	"CDH23; EVC; FLNA; FRAS1; MAML2; MAMLD1; MYO7A; NOTCH2; PIK3R3; PTPN11"	"Involved in the same disease;Indirectly interacting;Directly interacting;Relevant pathways for phenotype"	"(CDH23, MYO7A);(MAML2, NOTCH2)"	"N.A."	"1"	"OLI352"
"241"	"CCDC141; DUSP6"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI353"
"242"	"CHD7; GNRH1; IL17RD; RNF216; SEMA7A"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI354"
"243"	"ANOS1; IL17RD"	"Relevant pathways for phenotype;Monogenic experiments only"	"N.A."	"Signal Transduction"	"1"	"OLI355; OLI837; OLI1344"
"244"	"FGFR1; IL17RD"	"Relevant pathways for phenotype;Involved in the same disease"	"(FGFR1, IL17RD)"	"N.A."	"2"	"OLI356; OLI365; OLI1592; OLI1594"
"245"	"HS6ST1; IL17RD; LEPR; WDR11"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI357"
"246"	"PLXNA1; SPRY4"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI358"
"247"	"CC2D2A; NPHP3; NPHP4"	"Involved in the same disease;Relevant pathways for phenotype;Colocalization;Same pathway;Same organelle;Similar function"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI359"
"248"	"OPTN; TBK1"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Similar function"	"(OPTN, TBK1)"	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Mitophagy - animal"	"2"	"OLI360; OLI641; OLI644"
"249"	"KCNH2; SCN5A"	"Involved in the same disease;Relevant pathways for phenotype;Same pathway;Same protein complex"	"N.A."	"Muscle contraction;Cardiac conduction"	"2"	"OLI363; OLI985"
"250"	"KCNE2; SCN5A"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cardiac conduction"	"2"	"OLI364"
"251"	"IL17RD; KISS1R"	"Monogenic experiments only;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI366"
"252"	"FGF17; FGFR1; FLRT3; HS6ST1"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Co-expression"	"(FGF17, FGFR1)"	"Ras signaling pathway;Breast cancer;Melanoma;Calcium signaling pathway;Pathways in cancer;Rap1 signaling pathway;PI3K-Akt signaling pathway"	"2"	"OLI367"
"253"	"DUSP6; FGFR1"	"Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only;Co-expression"	"N.A."	"Disease;Diseases of signal transduction by growth factor receptors and second messengers"	"2"	"OLI368"
"254"	"DUSP6; SPRY4"	"Relevant pathways for phenotype;Affecting the same tissue;Same pathway;Co-expression"	"N.A."	"N.A."	"2"	"OLI369; OLI370"
"255"	"FGFR1; SPRY4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI371; OLI835"
"256"	"FGFR1; FLRT3"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI372; OLI1271"
"257"	"FGFR1; GNRH1; PROKR2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"2"	"OLI373"
"258"	"FGFR1; TACR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Calcium signaling pathway"	"2"	"OLI374; OLI392; OLI1290"
"259"	"FGFR1; KISS1R"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI375"
"260"	"FGFR1; NSMF"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI389; OLI390; OLI408"
"261"	"ANOS1; FGFR1"	"Directly interacting;Relevant pathways for phenotype;Involved in the same disease"	"(ANOS1, FGFR1)"	"N.A."	"2"	"OLI391; OLI456; OLI1106; OLI1339"
"262"	"SPRY4; TACR3"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI393"
"263"	"HS6ST1; TAC3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI394; OLI1354"
"264"	"ANOS1; TACR3"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"2"	"OLI395"
"265"	"PROK2; PROKR2"	"Directly interacting;Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"GPCR ligand binding;GPCR downstream signalling;Signal Transduction;Peptide ligand-binding receptors;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;G alpha (q) signalling events"	"2"	"OLI396; OLI834"
"266"	"MITF; TYR"	"Indirectly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Co-expression"	"N.A."	"Melanogenesis"	"2"	"OLI398; OLI399"
"267"	"NR5A1; ZFPM2"	"Indirectly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Monogenic experiments only;Same pathway;Similar function"	"N.A."	"Transcriptional regulation of testis differentiation;Developmental Biology"	"2"	"OLI400; OLI669"
"268"	"NR5A1; SRD5A2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI401"
"269"	"ALMS1; BMP4; E2F4; SMAD4; TSHZ1"	"Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI402"
"270"	"GNA14; HS1BP3"	"Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI403"
"271"	"SQSTM1; TARDBP"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Relevant pathways for phenotype"	"(SQSTM1, TARDBP)"	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"2"	"OLI404"
"272"	"COQ8A; MED25"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI405"
"273"	"DISP1; SHH"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI407"
"274"	"MEFV; NLRP3"	"Involved in the same disease;Directly interacting;Same pathway"	"(MEFV, NLRP3)"	"NOD-like receptor signaling pathway;Infectious disease;Cell recruitment (pro-inflammatory response);Disease;Immune System;Leishmania infection;The NLRP3 inflammasome;Inflammasomes;leucine rich repeat containing receptor (NLR) signaling pathways;Nucleotide-binding domain;Purinergic signaling in leishmaniasis infection;Innate Immune System"	"2"	"OLI411; OLI412"
"275"	"MEFV; TNFRSF1A"	"Involved in the same disease;Same pathway"	"N.A."	"Immune System"	"1"	"OLI413"
"276"	"CAPN3; DES"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI415"
"277"	"MYH7; TNNT2"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Dilated cardiomyopathy;Hypertrophic cardiomyopathy;Cardiac muscle contraction"	"2"	"OLI416; OLI1212"
"278"	"BBS10; BBS9"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI418"
"279"	"FGFR1; GLI3"	"Relevant pathways for phenotype"	"N.A."	"Pathways in cancer"	"1"	"OLI420; OLI1350"
"280"	"AXL; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI421; OLI894; OLI1428"
"281"	"AXL; CXCR4"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"1"	"OLI422"
"282"	"AXL; CRY1; MASTL"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI423"
"283"	"NOS1; RD3"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI424"
"284"	"PDE3A; TRAPPC9"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI425"
"285"	"FGF13; GAP43"	"Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI426"
"286"	"AMN1; JAG1"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI427"
"287"	"GLI3; GNRHR"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"1"	"OLI428"
"288"	"GPRIN1; SEMA4D; SMO"	"Relevant pathways for phenotype"	"N.A."	"Axon guidance"	"0"	"OLI429"
"289"	"GADL1; GNRH1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI430"
"290"	"OPTN; SETX"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI431; OLI435"
"291"	"EHMT1; SLC9A6"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI432"
"292"	"EHMT1; MFSD8"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI433"
